 Month,tas
6.5,6.950740833333334
6.5,6.720633333333332
6.5,6.572231666666667
6.5,7.5142050000000005
6.5,7.685430833333335
6.5,7.2699033333333345
6.5,6.85039
6.5,7.454750833333332
6.5,7.554736666666666
6.5,7.047419166666667
6.5,7.082420833333334
6.5,7.3605833333333335
6.5,7.464395833333334
6.5,6.724854166666666
6.5,7.071867500000001
6.5,8.116794999999998
6.5,7.2740800000000005
6.5,7.486061666666665
6.5,7.6505275
6.5,7.791960833333334
6.5,7.729511666666666
6.5,7.697465833333332
6.5,7.909409166666666
6.5,7.9897775
6.5,7.892488333333333
6.5,7.006916666666666
6.5,7.165007499999999
6.5,7.557492500000001
6.5,7.576748333333332
6.5,8.217144166666666
6.5,7.310817499999998
6.5,7.725200833333333
6.5,8.458880833333334
